fold,model,train_end,test_start,test_end,budget_k,value_at_risk,var_covered_frac,precision_at_k,recall_at_k,lift_at_k,roc_auc,pr_auc,brier_score
2010-08_2010-09,lightgbm,2010-07,2010-08,2010-09,0.2,164805.47,0.40500077274433305,0.3325635103926097,0.21686746987951808,1.0848381980578201,0.7261638096995171,0.5108514495840385,0.18873708914136914
2010-10_2010-11,xgboost,2010-09,2010-10,2010-11,0.05,153554.72999999998,0.16404794859626612,0.44785276073619634,0.04840848806366048,0.9681697612732096,0.737662262454126,0.6678215108770045,0.22805298179845873
2010-10_2010-11,xgboost,2010-09,2010-10,2010-11,0.1,227871.76999999996,0.24344347068631603,0.4662576687116564,0.10079575596816977,1.0079575596816976,0.737662262454126,0.6678215108770045,0.22805298179845873
2010-10_2010-11,xgboost,2010-09,2010-10,2010-11,0.2,353359.5,0.37750645057955756,0.46932515337423314,0.20291777188328913,1.0145888594164456,0.737662262454126,0.6678215108770045,0.22805298179845873
2010-10_2010-11,logistic_regression,2010-09,2010-10,2010-11,0.05,136494.40000000002,0.14582179471044748,0.4539877300613497,0.04907161803713528,0.9814323607427056,0.7427933820234246,0.6746361470349382,0.2229680152499274
2010-10_2010-11,logistic_regression,2010-09,2010-10,2010-11,0.1,229542.07,0.24522791124728313,0.4294478527607362,0.09283819628647215,0.9283819628647215,0.7427933820234246,0.6746361470349382,0.2229680152499274
2010-10_2010-11,logistic_regression,2010-09,2010-10,2010-11,0.2,372427.94,0.39787793939615723,0.44171779141104295,0.1909814323607427,0.9549071618037136,0.7427933820234246,0.6746361470349382,0.2229680152499274
2010-10_2010-11,lightgbm,2010-09,2010-10,2010-11,0.05,148259.08000000002,0.15839041841804358,0.4601226993865031,0.04973474801061008,0.9946949602122016,0.7364427391809891,0.6651487886062082,0.2285892671112692
2010-10_2010-11,lightgbm,2010-09,2010-10,2010-11,0.1,228005.53000000003,0.24358637122480317,0.46319018404907975,0.10013262599469495,1.0013262599469497,0.7364427391809891,0.6651487886062082,0.2285892671112692
2010-10_2010-11,lightgbm,2010-09,2010-10,2010-11,0.2,351399.05000000005,0.3754120325122955,0.47699386503067487,0.20623342175066314,1.0311671087533156,0.7364427391809891,0.6651487886062082,0.2285892671112692
